"URls","Size","# of Outlinks","Content-Type"
"https://www.washingtonpost.com/","277597","214","text/html;charset=UTF-8"
"https://www.washingtonpost.com/local/public-safety/georgetown-bank-teller-stole-185000-from-homeless-customer-with-garbage-bag-of-cash/2017/09/28/bb89a59c-a48b-11e7-8cfe-d5b912fabc99_story.html","153868","27","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/the-fix/wp/2017/09/30/nfl-anthem-protests-are-more-popular-than-trumps-crusade-heres-why-he-doesnt-care/","160964","36","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/the-gop-needs-more-men-like-this/2017/09/29/4890750c-a55d-11e7-b14f-f41773cd5a14_story.html","157264","39","text/html;charset=UTF-8"
"https://www.washingtonpost.com/pb/resources/img/TWPLogos-twp_black-268x.png","7529","0","image/png;charset=UTF-8"
"https://www.washingtonpost.com/news/in-sight/wp/2017/09/29/finding-race-and-compassion-in-the-mississippi-delta/","128890","62","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/","204402","80","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/george-f-will/","73563","61","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/fact-checker/wp/2017/09/30/did-president-trump-add-33-million-to-puerto-ricos-debt-by-bankrupting-a-golf-course-there/","176659","43","text/html;charset=UTF-8"
"https://www.washingtonpost.com/outlook/nature-caused-puerto-ricos-latest-crisis-but-politics-will-make-it-worse/2017/09/29/b498ac8c-a487-11e7-b14f-f41773cd5a14_story.html","163263","45","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/trumps-the-one-who-should-stop-disrespecting-our-flag/2017/09/29/204adfa4-a49c-11e7-ade1-76d061d56efa_story.html","159350","43","text/html;charset=UTF-8"
"https://www.washingtonpost.com/politics/the-past-week-showed-how-much-trump-is-struggling-to-be-the-president-he-promised/2017/09/30/3da5217e-a5cb-11e7-b14f-f41773cd5a14_story.html","168031","31","text/html;charset=UTF-8"
"https://www.washingtonpost.com/entertainment/music/songhoy-blues-puts-its-own-exuberant-take-on-african-sounds/2017/09/29/4f6d3e04-a4d7-11e7-b573-8ec86cdfe1ed_story.html","154582","30","text/html;charset=UTF-8"
"https://www.washingtonpost.com/food/","208971","106","text/html;charset=UTF-8"
"https://www.washingtonpost.com/pb/resources/img/thewashingtonpost-white-2x.png","12536","4","image/png;charset=UTF-8"
"https://www.washingtonpost.com/people/colbert-i-king/","73538","58","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/football-insider/wp/2017/09/30/d-j-swearinger-five-other-redskins-questionable-against-the-kansas-city-chiefs/","162287","34","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/29/stephen-colbert-asked-celebrities-to-tweet-their-awkward-childhood-photos-for-charity-behold/","166949","54","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/food/wp/2017/09/01/these-are-the-5-recipes-our-readers-loved-most-this-week/","158769","42","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/powerpost/wp/2017/09/29/federal-employees-honored-at-gala-get-trumps-praise/","162829","31","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/checkpoint/wp/2017/09/29/maria-hit-9-days-ago-less-than-half-of-the-puerto-rico-national-guard-is-on-duty/","154913","30","text/html;charset=UTF-8"
"https://www.washingtonpost.com/people/lindsey-bever/","73684","62","text/html;charset=UTF-8"
"https://www.washingtonpost.com/local/obituaries/herbert-kalmbach-most-mysterious-figure-in-the-watergate-scandal-dies-at-95/2017/09/29/9a9452e4-a56a-11e7-b14f-f41773cd5a14_story.html","238287","37","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/post-nation/wp/2017/09/30/trump-called-san-juans-mayor-a-weak-leader-heres-what-her-leadership-looks-like/?tid=pm_pop","142522","72","text/html;charset=UTF-8"
"https://www.washingtonpost.com/world/europe/with-kids-in-tow-catalonias-pro-independence-parents-occupy-polling-stations-in-mass-act-of-civil-disobedience-/2017/09/30/d346cbb4-a397-11e7-b573-8ec86cdfe1ed_story.html","161932","33","text/html;charset=UTF-8"
"https://www.washingtonpost.com/powerpost/with-or-without-trump-gop-insurgency-plans-for-a-civil-war-in-2018-midterms/2017/09/29/11fecb6c-a47a-11e7-ade1-76d061d56efa_story.html?tid=pm_pop","169274","29","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/to-your-health/wp/2017/09/30/mother-who-refuses-to-follow-court-order-to-vaccinate-son-most-likely-ill-be-going-to-jail/","160163","43","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/soloish/wp/2017/09/26/he-sounds-like-a-cheater-doesnt-he-you-can-detect-infidelity-in-a-persons-voice-study-finds/","157440","33","text/html;charset=UTF-8"
"https://www.washingtonpost.com/world/here-are-18-of-the-weeks-best-photos/2017/09/29/27fb487e-a07d-11e7-8ea1-ed975285475e_gallery.html","77517","32","text/html;charset=UTF-8"
"https://www.washingtonpost.com/politics/lost-weekend-how-trumps-time-at-his-golf-club-hurt-the-response-to-maria/2017/09/29/ce92ed0a-a522-11e7-8c37-e1d99ad6aa22_story.html?tid=pm_pop&utm_term=.6c3d3b3e7b20","203520","40","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/post-nation/wp/2017/09/30/trump-called-san-juans-mayor-a-weak-leader-heres-what-her-leadership-looks-like/","142522","72","text/html;charset=UTF-8"
"https://www.washingtonpost.com/opinions/will-the-supreme-court-plunge-into-a-political-thicket/2017/09/29/337dedae-a475-11e7-b14f-f41773cd5a14_story.html","159787","42","text/html;charset=UTF-8"
"https://www.washingtonpost.com/news/true-crime/wp/2017/09/29/a-mother-went-on-an-11-day-european-vacation-and-left-her-young-children-alone-at-home/?tid=pm_pop","155872","35","text/html;charset=UTF-8"
"https://www.washingtonpost.com/crossword-puzzles/","57446","80","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/style/carolyn-hax-close-friend-one-day-estranger-the-next/2017/09/28/be079a28-9fe4-11e7-9083-fbfddf6804c2_story.html","156155","28","text/html;charset=UTF-8"
"https://www.washingtonpost.com/lifestyle/travel/the-life-of-a-hotel-reviewer-hang-out-in-lobbies-and-bars-sleep-in-king-size-beds/2017/09/25/02308b34-8c39-11e7-84c0-02cc069f2c37_story.html","169615","38","text/html;charset=UTF-8"
"https://www.washingtonpost.com/sports/trump-thrusts-nfl-players-into-a-debate-they-didnt-ask-for/2017/09/30/bf0d0644-a573-11e7-b14f-f41773cd5a14_story.html","176310","36","text/html;charset=UTF-8"
